,rewards,actor_losses,critic_losses,trajectory_lengths
330,-315.8914091459177,-34.371174,9.671484,88
331,-588.3370062567052,-32.420197,7.695702,115
332,-384.1302464267723,-33.678967,20.999546,117
333,24.206716542907103,-33.28682,15.164637,249
334,172.48210532060722,-33.790257,12.855621,634
335,-229.2155845103486,-33.880432,11.524925,142
336,-195.97661820752228,-33.61882,14.3087435,158
337,-273.3947049054436,-33.791706,11.734448,106
338,227.1527783669363,-34.38558,12.738726,712
339,235.88023214158656,-33.915325,13.43214,436
340,171.23410662293776,-34.472576,12.842979,824
341,232.59320290734615,-34.43208,13.916615,546
342,168.91970722785845,-34.748283,12.266359,644
343,18.251444019280598,-34.35714,17.84574,368
344,270.7419720656195,-35.056282,10.632917,422
345,234.95455998238913,-35.029694,16.67131,519
346,201.06722431134017,-35.331875,15.495098,391
347,271.3322950553274,-35.39382,15.447195,416
348,212.95759011452802,-35.903652,13.757565,630
349,219.48809459484534,-35.47878,13.821376,526
350,205.1064698056482,-36.327934,12.360198,496
351,223.96851431023947,-36.022915,16.54472,512
352,209.06750524992498,-36.706467,14.340684,443
353,282.68090507889593,-36.077908,27.0679,351
354,267.3533739045961,-36.47877,19.141172,579
355,-252.5494683422066,-37.393776,11.056336,530
356,261.50117703263976,-37.199947,14.756303,433
357,91.1777571420969,-37.535366,12.646566,1435
358,204.64670250415213,-38.065865,16.075176,675
359,223.16956251617125,-37.875633,18.345089,597
360,222.58581481333505,-38.40991,16.538095,596
361,-18.89838060837849,-38.96099,12.131207,443
362,204.43375006337413,-38.751286,12.767654,666
363,182.81726675772373,-39.29927,15.593829,681
364,252.48339872641245,-39.19831,16.164005,525
365,191.32809167629043,-39.465385,14.4837475,734
366,198.68010411827123,-39.690033,12.390886,777
367,-199.36612881506494,-39.875362,17.653885,617
368,-208.87097998211397,-40.282627,15.003071,120
369,255.30495799934414,-40.349895,12.835654,492
370,221.03124672565707,-40.459324,9.612341,479
371,246.83307539503488,-40.858932,14.5412,466
372,213.49812792729742,-40.86651,11.120967,624
373,182.98612873267393,-40.736988,10.265298,792
374,153.39382447258123,-40.78366,15.831035,723
375,181.13145487063335,-40.916615,12.512051,556
376,232.03799853675926,-40.980648,15.550571,480
377,240.69094368866,-40.99574,12.061023,552
378,194.39025442740967,-41.603554,9.477256,644
379,231.89364233342656,-41.68723,12.224039,440
380,-29.620427735261416,-42.000076,11.378996,352
381,1.1335885286419511,-41.670895,11.3651,429
382,261.74692722538146,-41.868443,18.761106,356
383,-30.093846984894597,-41.669228,10.4073305,515
384,159.10651183690862,-42.02791,10.543284,491
385,185.77693406370508,-41.857704,13.618911,653
386,178.74403383942234,-41.914032,13.032753,710
387,186.79608356378282,-42.21746,15.578455,544
388,162.0929364752148,-42.41102,12.081373,885
